property_type,surface_covered_in_m2,price_aprox_usd,state,lat,lon
house,111.0,107758.08,Distrito Federal,19.305232,-99.240232
house,230.0,194986.21,Distrito Federal,19.39557,-99.132937
house,146.0,392514.3,Distrito Federal,19.362582,-99.28078
apartment,529.0,289775.66,Distrito Federal,19.364891,-99.148384
apartment,0.0,92201.34,Distrito Federal,19.352547,-99.181675
apartment,114.0,30835.54,Distrito Federal,20.3658712617,-87.3421669006
apartment,88.0,250366.17,Distrito Federal,19.332428,-99.061256
apartment,65.0,94045.37,Distrito Federal,20.613375,-87.089897
house,453.0,421591.82,Distrito Federal,19.474446,-99.088493
house,100.0,37934.26,Distrito Federal,19.284672,-99.220367
apartment,73.0,134756.21,Distrito Federal,19.485544,-99.21656
apartment,50.0,33534.94,Distrito Federal,19.36418,-99.190162
apartment,55.0,88513.29,Distrito Federal,21.161908,-86.8515279
house,220.0,289775.66,Distrito Federal,21.082655,-86.857162
apartment,279.0,948581.6,Distrito Federal,21.163368,-86.874725
store,70.0,43705.0,Distrito Federal,19.3608378506,-99.2015688121
apartment,80.0,35631.86,Distrito Federal,19.493224,-99.111765
house,130.0,68508.67,Quintana Roo,19.2812604,-99.1683104
apartment,165.0,587000.0,Solidaridad,19.443475,-99.202862
apartment,145.0,379342.68,Distrito Federal,19.3904162,-99.2550003
house,272.0,350000.0,Quintana Roo,,
apartment,135.0,337720.36,Distrito Federal,19.313878,-99.094271
apartment,96.0,285824.17,Distrito Federal,19.484532,-99.207027
house,516.0,460000.0,Quintana Roo,19.376822,-99.174675
house,1000.0,684924.28,Distrito Federal,,
apartment,172.0,705036.0,Distrito Federal,,
apartment,95.0,106321.32,Distrito Federal,19.372684,-99.183678
apartment,102.0,177309.45,Distrito Federal,19.475237,-99.210828
apartment,60.0,77554.5,Distrito Federal,19.361111,-99.194061
apartment,90.0,116331.75,Distrito Federal,20.626583,-87.078659
house,140.0,147416.78,Distrito Federal,21.149204,-86.833328
apartment,80.0,57955.13,Distrito Federal,,
apartment,300.0,570489.24,Quintana Roo,19.422564,-99.154225
apartment,130.0,142253.5,Distrito Federal,19.413523,-99.096141
house,0.0,230000.0,Quintana Roo,19.4037619,-99.2513326
apartment,50.0,152790.8,Distrito Federal,19.448311,-99.157021
apartment,188.0,205477.28,Distrito Federal,19.421988,-99.168753
apartment,60.0,80153.73,Distrito Federal,19.396213,-99.142238
apartment,86.0,275000.0,Solidaridad,,
house,80.0,258988.23,Distrito Federal,19.320367,-99.2180351
apartment,167.0,442566.46,Distrito Federal,19.382275,-99.270241
apartment,300.0,1590000.0,Quintana Roo,19.454459,-99.129125
apartment,65.0,47681.26,Distrito Federal,,
apartment,100.0,169650.47,Distrito Federal,19.35282,-99.168727
apartment,69.0,42676.05,Distrito Federal,,
house,155.0,104870.96,Quintana Roo,20.200185,-87.451395
apartment,600.0,830000.0,Distrito Federal,,
house,463.0,246631.21,Distrito Federal,19.375412,-99.144234
house,300.0,131115.0,Distrito Federal,19.366424,-99.231448
apartment,47.0,34246.21,Distrito Federal,19.365467,-99.196621
apartment,48.0,54267.07,Distrito Federal,19.3757,-99.196831
apartment,450.0,1500000.0,Distrito Federal,21.1127471696,-86.8516767025
apartment,90.0,144887.83,Distrito Federal,23.634501,-102.552788
apartment,60.0,46328.96,Distrito Federal,19.405014,-99.141464
apartment,77.0,179000.0,Quintana Roo,19.377369,-99.198052
house,187.0,471655.85,Distrito Federal,19.3052301338,-99.2251574993
apartment,75.0,110351.66,Distrito Federal,19.362547,-99.231102
apartment,98.0,100262.37,Distrito Federal,19.380951,-99.13662
apartment,100.0,113759.49,Distrito Federal,19.3182548,-99.0844132
apartment,101.0,203555.81,Distrito Federal,19.39365,-99.14769
apartment,90.0,55847.67,Distrito Federal,21.129547,-86.817017
apartment,70.0,77533.42,Distrito Federal,,
house,98.0,71758.99,Distrito Federal,,
apartment,70.0,71126.75,Distrito Federal,19.436024,-99.15461
apartment,56.0,49051.11,Distrito Federal,19.4132511,-99.2366543
apartment,68.0,102741.17,Distrito Federal,19.366901,-99.297272
apartment,54.0,39544.36,Distrito Federal,19.350054,-99.123847
apartment,58.0,85352.1,Distrito Federal,19.395798,-99.167816
apartment,450.0,1400000.0,Distrito Federal,19.405298,-99.164986
house,160.0,68492.42,Quintana Roo,19.485001,-99.144738
apartment,78.0,35826.8,Distrito Federal,23.634501,-102.552788
apartment,45.0,20231.6,Distrito Federal,19.4557379025,-99.2047137022
apartment,243.0,550000.0,Distrito Federal,19.393465,-99.25403
apartment,60.0,28398.01,Distrito Federal,19.283032,-99.22548
house,190.0,134719.33,Distrito Federal,21.129547,-86.817017
apartment,652.0,34254.33,Distrito Federal,19.3109757,-99.2426849
house,64.0,19182.42,Quintana Roo,21.147373,-86.821329
apartment,65.0,40028.02,Distrito Federal,20.6456,-87.060983
house,200.0,73603.01,Distrito Federal,19.392937,-99.263313
house,147.0,81664.04,Quintana Roo,20.648594,-87.059929
house,270.0,549000.0,Quintana Roo,21.137438946,-86.8428683281
apartment,68.0,65858.1,Distrito Federal,19.378481,-99.197672
house,1170.0,6500000.0,Quintana Roo,19.368544,-99.163605
house,141.0,370707.36,Distrito Federal,21.1295466,-86.8170132
house,150.0,79029.72,Distrito Federal,19.494455,-99.127874
apartment,70.0,71126.75,Distrito Federal,19.388044,-99.185753
house,280.0,237145.4,Distrito Federal,19.400785,-99.147419
house,247.0,136457.99,Distrito Federal,,
apartment,50.0,55712.53,Distrito Federal,19.324355,-99.264328
apartment,63.0,43729.78,Distrito Federal,19.368544,-99.163605
apartment,94.0,169138.36,Distrito Federal,19.398671,-99.134129
house,305.0,737610.77,Distrito Federal,,
house,104.0,82190.91,Distrito Federal,21.166054,-86.851271
apartment,249.0,1317162.09,Distrito Federal,19.337753,-99.030333
apartment,70.0,75066.27,Distrito Federal,,
apartment,61.0,107033.04,Distrito Federal,19.400731,-99.125466
apartment,60.0,44699.21,Distrito Federal,,
house,150.0,107849.23,Distrito Federal,19.393385,-99.21247
apartment,81.0,161826.53,Distrito Federal,21.129547,-86.817017
apartment,69.0,21922.77,Distrito Federal,20.6376190964,-87.0714783669
apartment,75.0,220587.77,Distrito Federal,19.410215,-99.14595
apartment,129.0,382461.0,Quintana Roo,19.335116,-99.223332
apartment,180.0,350000.0,Quintana Roo,19.395835,-99.135191
apartment,130.0,156706.83,Distrito Federal,19.397059,-99.184501
house,600.0,1027630.07,Quintana Roo,,
apartment,112.0,272494.49,Distrito Federal,19.2975426,-99.1965436
apartment,173.0,885300.0,Distrito Federal,21.129547,-86.817017
house,160.0,71896.0,Distrito Federal,19.2737435688,-99.1486726329
apartment,93.0,152790.8,Distrito Federal,19.400007,-99.147221
house,62.0,21074.59,Benito Juárez,19.396705,-99.181902
apartment,74.0,150883.55,Distrito Federal,19.371249,-99.140513
apartment,144.0,170000.0,Quintana Roo,,
house,252.0,154934.99,Quintana Roo,,
house,150.0,136721.42,Distrito Federal,19.445186,-99.135618
apartment,65.0,96205.51,Distrito Federal,19.466385,-99.160928
apartment,230.0,432131.62,Distrito Federal,19.314143,-99.134709
apartment,120.0,39895.91,Distrito Federal,19.401128,-99.171551
apartment,80.0,69775.5,Distrito Federal,21.137043,-86.768566
house,360.0,267057.24,Distrito Federal,19.428152,-99.106194
apartment,136.0,55320.8,Distrito Federal,19.396247,-99.190282
house,297.0,294517.44,Distrito Federal,19.436024,-99.15461
apartment,250.0,1053729.67,Distrito Federal,19.348122,-99.125716
apartment,57.0,98599.06,Distrito Federal,19.399818,-99.150869
house,180.0,121099.09,Distrito Federal,19.3668017,-99.1724994
house,200.0,200208.63,Distrito Federal,19.466822,-99.157379
apartment,128.0,120125.18,Distrito Federal,19.409748,-99.13548
apartment,130.0,142253.5,Distrito Federal,19.368544,-99.163605
apartment,55.0,63223.78,Distrito Federal,19.400249,-99.177444
apartment,100.0,158059.45,Distrito Federal,,
apartment,65.0,144887.83,Distrito Federal,,
apartment,776510.0,40911.58,Distrito Federal,19.374413,-99.105499
house,250.0,135276.81,Distrito Federal,,
apartment,60.0,96679.69,Distrito Federal,19.3670151,-99.2208499
house,230.0,163328.09,Distrito Federal,19.384467,-99.135872
apartment,52.0,23035.4,Distrito Federal,19.3886655965,-99.1604368016
apartment,200.0,537529.57,Distrito Federal,19.41947,-99.100507
house,309.0,1800000.0,Distrito Federal,19.3916143,-99.1854946
house,355.0,290144.46,Distrito Federal,19.449518,-99.13769
apartment,70.0,84502.81,Distrito Federal,19.287428,-99.122283
apartment,177.0,300000.0,Quintana Roo,19.410307,-99.065399
house,100.0,34517.83,Distrito Federal,19.413992,-99.138695
house,200.0,316118.9,Quintana Roo,19.382986,-99.241837
apartment,150.0,273969.71,Distrito Federal,19.317698,-99.061256
apartment,50.0,39112.65,Distrito Federal,19.3720882,-99.1814146
apartment,70.0,29438.36,Distrito Federal,,
apartment,65.0,31440.65,Distrito Federal,19.364891,-99.148384
apartment,120.0,120652.04,Distrito Federal,19.366753,-99.138046
apartment,95.0,58271.25,Distrito Federal,19.387209,-99.222038
apartment,60.0,35721.43,Distrito Federal,,
house,260.0,155477.81,Distrito Federal,19.400249,-99.177444
apartment,58.0,105372.96,Distrito Federal,19.41498,-99.177444
apartment,165.0,750782.39,Distrito Federal,19.39365,-99.14769
apartment,50.0,76395.4,Distrito Federal,19.2990233,-99.0436467
apartment,60.0,102552.21,Distrito Federal,19.302569,-99.167059
house,223.0,130693.46,Distrito Federal,21.082655,-86.857162
house,260.0,387337.48,Distrito Federal,19.3843598183,-99.2532643676
apartment,187.0,1700000.0,Solidaridad,19.446829,-99.159454
house,740.0,4200000.0,Distrito Federal,21.1902642,-86.8198375
apartment,103.0,316118.9,Distrito Federal,20.6571911553,-87.0506429672
house,360.0,197574.31,Distrito Federal,19.42319,-99.159651
apartment,65.0,90620.75,Distrito Federal,20.65593,-87.05368
house,90.0,47259.77,Distrito Federal,19.405134,-99.19269
apartment,289.0,123813.23,Distrito Federal,19.302349,-99.014275
apartment,60.0,47681.26,Distrito Federal,21.110701388,-86.8537387869
apartment,68.0,76909.09,Distrito Federal,19.387146,-99.166124
apartment,90.0,173432.33,Distrito Federal,19.486397,-99.117309
apartment,1730000.0,91147.61,Distrito Federal,19.306187,-99.055725
apartment,76.0,38102.86,Distrito Federal,19.446829,-99.159454
house,200.0,134719.33,Distrito Federal,,
house,273.0,395000.0,Quintana Roo,19.3844626,-99.2536012
apartment,250.0,237089.17,Distrito Federal,,
apartment,70.0,40287.56,Distrito Federal,,
apartment,187.0,915712.0,Distrito Federal,21.082655,-86.857162
apartment,48.0,7825.79,Distrito Federal,21.107132,-86.843744
house,190.0,342005.51,Distrito Federal,19.35886,-99.175384
apartment,0.0,116359.34,Distrito Federal,19.2573102,-99.1671515
house,262.0,192305.66,Quintana Roo,19.336828,-99.135239
house,145.0,88513.29,Distrito Federal,19.313878,-99.094271
apartment,638.0,75570.33,Distrito Federal,19.390031,-99.174182
apartment,169.0,340000.0,Quintana Roo,19.276466,-99.222443
house,715.0,985237.24,Distrito Federal,19.365156,-99.1138
apartment,65.0,48218.66,Distrito Federal,19.4195256,-99.162549
apartment,60.0,121207.64,Distrito Federal,19.300869,-99.144271
house,190.0,142287.24,Quintana Roo,19.305561,-99.171219
house,92.0,47429.08,Quintana Roo,19.3753436887,-99.1658299617
apartment,255.0,476925.75,Quintana Roo,19.305561,-99.171219
apartment,90.0,90115.25,Distrito Federal,19.441821,-99.156452
apartment,50.0,62696.91,Distrito Federal,19.417363,-99.068463
house,200.0,166313.63,Distrito Federal,19.358573,-99.078609
apartment,185.0,484715.65,Distrito Federal,19.404661,-99.133858
apartment,50.0,21243.19,Distrito Federal,19.396502,-99.128797
apartment,180.0,102763.0,Quintana Roo,19.469681,-99.086136
apartment,84.0,131747.44,Distrito Federal,19.3360288,-99.2021638
apartment,156.0,265234.0,Quintana Roo,19.335419,-99.119331
house,601.0,1950000.0,Quintana Roo,,
apartment,58.0,105372.96,Distrito Federal,20.672801086,-87.039758563
house,150.0,105109.53,Quintana Roo,19.433077,-99.198212
apartment,96.0,171271.67,Distrito Federal,,
apartment,90.0,132699.65,Distrito Federal,19.482603,-99.194748
apartment,102.0,158955.12,Distrito Federal,19.443592,-99.121407
apartment,172.0,343597.33,Distrito Federal,19.329109,-99.127632
apartment,64.0,36090.24,Distrito Federal,,
apartment,99.0,265670.35,Distrito Federal,19.384371,-99.135965
apartment,95.0,180187.77,Distrito Federal,,
house,250.0,329368.61,Distrito Federal,19.338544,-99.08121
apartment,80.0,275000.0,Solidaridad,19.417364,-99.159454
house,261.0,187037.01,Distrito Federal,19.466659,-99.188824
apartment,60.0,34077.61,Distrito Federal,19.3414129,-99.2290163
apartment,0.0,50064.02,Distrito Federal,20.65593,-87.05368
apartment,85.0,89988.51,Distrito Federal,19.3465231,-99.1912897
house,270.0,131747.44,Distrito Federal,,
apartment,43.0,41895.68,Distrito Federal,,
apartment,55.0,63223.78,Distrito Federal,19.412142,-99.146127
apartment,110.0,141199.77,Distrito Federal,21.170783,-86.88634
house,224.0,246631.21,Distrito Federal,19.3427258513,-99.1475611925
apartment,73.0,37934.26,Distrito Federal,19.3329086,-99.2322038
apartment,60.0,52482.9,Distrito Federal,19.328841,-99.141614
apartment,297.0,763954.01,Distrito Federal,19.501543,-99.206177
house,80.0,121911.83,Distrito Federal,21.076011,-86.776929
house,90.0,39040.68,Distrito Federal,19.393865,-99.166391
apartment,60.0,61881.06,Distrito Federal,19.368281,-99.293229
house,66.0,36880.53,Quintana Roo,19.301248,-99.14055
apartment,66.0,31769.94,Benito Juárez,20.6295586,-87.0738851
apartment,50.0,7823.94,Distrito Federal,19.439253,-99.163605
house,0.0,908841.84,Distrito Federal,19.394358,-99.177444
apartment,288.0,85878.96,Distrito Federal,20.6374777,-87.081612
apartment,73.0,155425.12,Distrito Federal,19.383952,-99.160229
apartment,90.0,84502.81,Distrito Federal,18.493295,-88.395483
apartment,70.0,42465.3,Distrito Federal,19.490943,-99.075738
house,150.0,343625.3,Distrito Federal,,
apartment,120.0,117859.66,Distrito Federal,,
house,120.0,159000.0,Quintana Roo,19.410177,-99.08268
apartment,90.0,165962.42,Distrito Federal,19.446253,-99.157519
apartment,70.0,139864.27,Distrito Federal,19.394073,-99.153915
house,229.0,279238.36,Distrito Federal,19.444888,-99.171777
apartment,243.0,417678.68,Distrito Federal,21.129547,-86.817017
house,330.0,395242.33,Distrito Federal,19.439716,-99.152892
apartment,197.0,262462.98,Distrito Federal,19.365766,-99.263112
apartment,70.0,89567.02,Distrito Federal,20.63659,-87.068674
apartment,85.0,154347.16,Distrito Federal,19.365088,-99.148127
apartment,150.0,415696.35,Distrito Federal,,
apartment,64.0,142516.93,Distrito Federal,19.324226,-99.211615
apartment,156.0,133960.8,Quintana Roo,19.508428,-99.125896
apartment,62.0,140361.53,Distrito Federal,21.1515356079,-86.8187499046
apartment,67.0,63765.76,Distrito Federal,21.1457319983,-86.7889344692
apartment,94.0,115910.26,Distrito Federal,19.403014,-99.158422
apartment,60.0,34085.69,Distrito Federal,,
apartment,49.0,43093.85,Distrito Federal,19.481972,-99.199944
apartment,70.0,35141.78,Distrito Federal,,
apartment,255.0,1415000.0,Distrito Federal,,
apartment,115.0,255590.04,Distrito Federal,19.3649554,-99.1923622
apartment,60.0,34351.58,Distrito Federal,19.355921,-99.180214
apartment,80.0,141375.43,Distrito Federal,,
house,200.0,180925.38,Distrito Federal,19.400959,-99.162199
house,699.0,163854.96,Distrito Federal,19.355921,-99.180214
apartment,80.0,131716.2,Distrito Federal,19.401079,-99.24807
apartment,81.0,154898.26,Distrito Federal,19.3973062792,-99.1587439924
apartment,51.0,86858.35,Distrito Federal,19.3612378,-99.1968667
apartment,55.0,31619.38,Distrito Federal,19.4081535,-99.2306612
house,200.0,87743.79,Distrito Federal,19.472893,-99.078228
house,800.0,843183.65,Distrito Federal,19.372684,-99.183678
apartment,80.0,147557.13,Distrito Federal,20.6171360692,-87.0845117574
house,111.0,111721.83,Distrito Federal,19.401079,-99.24807
house,100.0,51644.99,Quintana Roo,20.2014334456,-87.4490261078
house,133.0,110641.61,Distrito Federal,19.317741,-99.119331
house,950.0,1396522.92,Distrito Federal,21.1632822196,-86.8059825897
apartment,51.0,68861.23,Distrito Federal,19.341081,-99.207597
apartment,350.0,1159102.64,Distrito Federal,19.506314,-99.158182
apartment,70.0,38091.59,Distrito Federal,,
house,324.0,273969.71,Distrito Federal,,
store,897.0,368805.38,Distrito Federal,19.410215,-99.14595
apartment,70.0,77141.75,Distrito Federal,21.129547,-86.817017
apartment,84.0,157796.01,Distrito Federal,19.375733,-99.139518
house,961.0,2275000.0,Quintana Roo,20.6193442233,-87.0948109031
apartment,64.0,125835.5,Distrito Federal,19.396747,-99.179258
house,650.0,632237.8,Distrito Federal,19.412142,-99.146127
apartment,78.0,134382.39,Distrito Federal,19.394358,-99.177444
apartment,90.0,64819.74,Distrito Federal,19.3615,-99.098587
apartment,64.0,39883.66,Distrito Federal,19.3626963,-99.1235565
house,80.0,29315.91,Distrito Federal,19.365865,-99.148341
apartment,120.0,244570.65,Distrito Federal,19.454082,-99.125206
apartment,70.0,54235.15,Distrito Federal,19.427754,-99.171109
apartment,346.0,86142.4,Distrito Federal,19.474655,-99.189277
house,220.0,202891.06,Quintana Roo,19.372881,-99.048586
apartment,60.0,76922.26,Distrito Federal,21.1321482,-86.8601348
apartment,58.0,46375.1,Distrito Federal,20.630426,-87.069193
apartment,70.0,24460.27,Distrito Federal,19.376802,-99.116562
apartment,75.0,63816.51,Distrito Federal,19.428622,-99.14602
apartment,242.0,168636.73,Quintana Roo,19.456145,-99.201167
house,199.0,168596.74,Distrito Federal,19.4149803,-99.1774462
apartment,90.0,93202.38,Distrito Federal,19.443178,-99.20237
apartment,85.0,47923.62,Distrito Federal,21.129547,-86.817017
apartment,62.0,155000.0,Quintana Roo,19.287598,-99.14769
apartment,70.0,56796.02,Distrito Federal,,
apartment,70.0,47681.26,Distrito Federal,20.6131434373,-87.1014761925
apartment,60.0,79029.72,Distrito Federal,19.410553,-99.133858
house,0.0,426861.72,Quintana Roo,19.395097,-99.150424
apartment,53.0,89588.26,Distrito Federal,19.4431776,-99.2023662
apartment,263.0,1500000.0,Quintana Roo,19.274141,-99.166374
apartment,70.0,27521.1,Distrito Federal,21.129547,-86.817017
house,221.0,283520.5,Distrito Federal,22.740947,-102.593813
apartment,43.0,47348.86,Distrito Federal,19.375972,-99.159974
apartment,126.0,314011.44,Distrito Federal,19.387451,-99.175462
house,170.0,127764.72,Quintana Roo,20.6406691865,-87.0692261244
apartment,135.0,337720.36,Distrito Federal,19.305481,-99.126693
apartment,63.0,65248.6,Distrito Federal,,
apartment,70.0,61305.99,Distrito Federal,,
apartment,0.0,202889.06,Quintana Roo,19.347388,-99.23397
house,250.0,147522.15,Distrito Federal,21.12866,-86.878001
house,1200.0,1527908.03,Distrito Federal,19.4351765,-99.2004541
apartment,75.0,265000.0,Quintana Roo,21.149204,-86.833328
house,350.0,368805.38,Distrito Federal,21.129547,-86.817017
apartment,113.0,265000.0,Quintana Roo,19.381729,-99.164986
house,830.0,1633668.32,Distrito Federal,19.452503,-99.120018
apartment,256.0,600000.0,Quintana Roo,19.429645,-99.20299
house,82.0,33192.48,Quintana Roo,19.309208,-99.171906
apartment,108.0,168636.73,Distrito Federal,21.1902642,-86.8198375
apartment,107.0,240661.32,Distrito Federal,19.368823,-99.224603
apartment,44.0,73761.07,Distrito Federal,21.1671842077,-86.8065297604
apartment,71.0,36880.53,Distrito Federal,19.454082,-99.125206
apartment,74.0,32823.67,Distrito Federal,19.339774,-99.17324
house,180.0,95836.71,Distrito Federal,19.46236,-99.130914
apartment,101.0,268764.29,Distrito Federal,21.12814,-86.87993
apartment,110.0,240000.0,Quintana Roo,19.452119,-99.093016
apartment,46.0,57902.44,Distrito Federal,19.37416,-99.107601
apartment,90.0,131558.15,Distrito Federal,21.158964,-86.845937
apartment,75.0,89567.02,Distrito Federal,19.410501,-99.119954
apartment,70.0,29258.54,Distrito Federal,,
house,300.0,207106.98,Distrito Federal,19.4306069,-99.0949899
apartment,95.0,184446.42,Distrito Federal,19.300097,-99.060735
apartment,250.0,658581.04,Distrito Federal,19.3812857702,-99.163189888
apartment,115.0,220000.0,Quintana Roo,21.1902642,-86.8198375
apartment,63.0,124403.22,Distrito Federal,,
apartment,50.0,31605.36,Distrito Federal,23.634501,-102.552788
apartment,59.0,42159.18,Distrito Federal,19.397686,-99.161395
apartment,75.0,39866.07,Distrito Federal,19.552402,-99.142799
apartment,44.0,10936.66,Distrito Federal,19.370272,-99.149127
apartment,78.0,150156.47,Distrito Federal,19.389235,-99.175708
apartment,75.0,33200.35,Distrito Federal,19.390271,-99.151588
apartment,50.0,73778.56,Distrito Federal,20.50564,-87.220559
house,370.0,285628.46,Distrito Federal,19.392172,-99.154625
apartment,155.0,363383.59,Distrito Federal,,
apartment,160.0,346677.06,Distrito Federal,19.3305615,-99.2483904
apartment,100.0,158059.45,Distrito Federal,19.397061,-99.184722
apartment,89.0,206105.7,Distrito Federal,19.373161,-99.130394
house,200.0,44783.51,Quintana Roo,20.6798476158,-87.0527458191
apartment,110.0,141199.77,Distrito Federal,21.1165811,-86.8474528
apartment,130.0,202891.06,Distrito Federal,21.1504824698,-86.8156854808
apartment,60.0,46954.78,Distrito Federal,21.129547,-86.817017
house,63.0,110641.61,Distrito Federal,19.414261,-99.104118
apartment,60.0,62844.43,Distrito Federal,19.36658,-99.149088
apartment,65.0,104319.23,Distrito Federal,19.414969,-99.13917
apartment,0.0,325000.0,Quintana Roo,19.3649315,-99.2202321
apartment,123.0,249000.0,Quintana Roo,20.626583,-87.078659
house,780.0,521069.32,Quintana Roo,19.245052,-99.085449
apartment,70.0,39883.66,Distrito Federal,19.309824,-99.045654
apartment,124.0,270872.74,Distrito Federal,19.3499358,-99.2906864
apartment,85.0,192305.66,Distrito Federal,19.3866295,-99.1749358
apartment,321.0,1607500.0,Solidaridad,19.437285,-99.174303
apartment,50.0,31916.34,Distrito Federal,19.397059,-99.184501
apartment,107.0,240661.32,Distrito Federal,19.389044,-99.179657
house,220.0,87682.26,Distrito Federal,20.6456,-87.060983
apartment,84.0,250000.0,Quintana Roo,19.548568,-99.137423
apartment,89.0,52698.97,Quintana Roo,19.3360288,-99.2021638
apartment,93.0,225504.19,Distrito Federal,19.3118799614,-99.2428533733
apartment,110.0,30835.54,Distrito Federal,20.6295586,-87.0738851
house,296.0,237089.17,Distrito Federal,,
apartment,70.0,136194.56,Distrito Federal,19.33427,-99.083374
apartment,126.0,273969.71,Distrito Federal,19.318989,-99.094437
house,427.0,331924.84,Quintana Roo,19.353813,-99.163605
apartment,65.0,60610.53,Distrito Federal,19.440935,-99.188522
house,210.0,85949.19,Distrito Federal,19.464928,-99.180214
apartment,80.0,62188.64,Distrito Federal,19.366632,-99.1979
house,480.0,121126.22,Distrito Federal,19.312223,-99.105454
apartment,185.0,263432.41,Distrito Federal,19.446915,-99.128639
apartment,65.0,39027.51,Distrito Federal,19.549175,-99.129107
apartment,240.0,524618.32,Distrito Federal,19.41498,-99.177444
apartment,270.0,500640.29,Distrito Federal,,
house,137.0,233983.46,Distrito Federal,,
apartment,65.0,50579.02,Distrito Federal,19.3006938191,-99.1083312035
apartment,60.0,65647.35,Distrito Federal,20.6559161898,-87.0391845703
apartment,59.0,45170.23,Distrito Federal,,
apartment,255.0,440942.03,Distrito Federal,19.472155,-99.161186
apartment,91.0,91147.61,Distrito Federal,,
house,195.0,114795.94,Distrito Federal,19.401079,-99.24807
house,270.0,138598.31,Distrito Federal,19.442451,-99.178838
apartment,64.0,76395.4,Distrito Federal,19.361111,-99.194061
apartment,53.0,78422.77,Distrito Federal,,
apartment,105.0,284507.01,Distrito Federal,,
apartment,90.0,63002.49,Distrito Federal,19.346553,-99.236118
house,140.0,136141.87,Distrito Federal,19.365917,-99.196977
apartment,80.0,71390.18,Distrito Federal,19.445553,-99.097057
apartment,100.0,166528.77,Distrito Federal,19.392349,-99.07093
apartment,79.0,77712.56,Quintana Roo,19.40158,-99.15333
apartment,66.0,173812.71,Distrito Federal,19.524143,-99.160149
apartment,75.0,75107.69,Distrito Federal,19.3178194,-99.1324714
house,398.0,1106416.15,Distrito Federal,20.626583,-87.078659
apartment,109.0,90866.58,Distrito Federal,19.367025,-99.231048
house,300.0,207475.87,Distrito Federal,19.497521,-99.203979
apartment,70.0,35631.86,Distrito Federal,19.397983,-99.146696
house,280.0,224971.28,Distrito Federal,19.2947596,-99.1663731
apartment,279.0,500000.0,Distrito Federal,19.317922,-99.236124
apartment,78.0,152827.03,Distrito Federal,19.370272,-99.149127
house,490.0,2000000.0,Quintana Roo,19.357346,-99.2879
apartment,60.0,37307.19,Distrito Federal,19.367065,-99.172099
apartment,41.0,53160.66,Distrito Federal,,
apartment,65.0,44286.32,Distrito Federal,19.48527,-99.200287
apartment,219.0,1020000.0,Distrito Federal,,
house,150.0,179176.52,Quintana Roo,19.455972,-99.196498
house,180.0,151104.83,Distrito Federal,19.254851,-99.163273
house,196.0,184402.69,Zacatecas,20.6627669954,-87.0697772965
apartment,85.0,226551.88,Distrito Federal,19.340847,-99.22491
apartment,99.0,255000.0,Quintana Roo,19.3777,-99.124021
apartment,74.0,170372.28,Distrito Federal,19.493185,-99.205755
house,110.0,195000.0,Quintana Roo,19.354509,-99.149765
apartment,283.0,590954.52,Distrito Federal,19.445743,-99.174986
apartment,141.0,126477.54,Quintana Roo,19.463957,-99.119607
house,171.0,161511.31,Distrito Federal,19.375626,-99.15461
house,1050.0,249114.34,Distrito Federal,19.3984396984,-99.1601085663
apartment,0.0,185551.25,Distrito Federal,19.427754,-99.171109
house,443.0,1299000.0,Quintana Roo,19.3845016369,-99.0904824436
house,165.0,320000.0,Quintana Roo,20.6342903431,-87.0720630884
apartment,70.0,61626.9,Distrito Federal,19.311805,-99.117251
apartment,90.0,73919.13,Distrito Federal,19.455666,-99.188522
house,235.0,125950.55,Quintana Roo,,
apartment,67.0,72211.15,Distrito Federal,19.367511,-99.294879
apartment,45.0,45306.16,Distrito Federal,19.453564,-99.133092
apartment,104.0,103897.74,Distrito Federal,19.275882,-99.148657
house,155.0,94598.58,Distrito Federal,,
apartment,60.0,36138.08,Distrito Federal,,
apartment,80.0,50431.5,Distrito Federal,19.410307,-99.065399
apartment,238.0,295114.27,Distrito Federal,19.371342,-99.253616
apartment,66.0,63002.49,Distrito Federal,19.456747,-99.189193
apartment,69.0,42386.27,Distrito Federal,20.5138888,-87.2394444
apartment,64.0,61010.94,Distrito Federal,19.543029,-99.125098
apartment,67.0,31085.02,Distrito Federal,19.341894,-99.224525
house,88.0,43307.23,Distrito Federal,21.1078596273,-86.8478572362
apartment,80.0,85899.33,Distrito Federal,19.351371,-99.161529
house,205.0,113503.05,Distrito Federal,19.387651,-99.142257
apartment,70.0,29996.15,Distrito Federal,19.273713,-99.120741
house,80.0,130545.51,Distrito Federal,20.6456,-87.060983
apartment,74.0,78502.86,Distrito Federal,19.381704,-99.2218219
house,60.0,74920.17,Distrito Federal,19.384037,-99.140704
apartment,140.0,368742.16,Distrito Federal,19.35231,-99.1579
apartment,100.0,107322.36,Distrito Federal,19.386821,-99.164805
apartment,170.0,332500.0,Quintana Roo,20.6295586,-87.0738851
apartment,58.0,45837.24,Distrito Federal,19.342083,-99.0532159
apartment,56.0,90936.87,Distrito Federal,,
apartment,70.0,6743.86,Quintana Roo,19.365156,-99.160811
apartment,113.0,196000.0,Quintana Roo,19.335116,-99.223332
apartment,45.0,52665.4,Distrito Federal,19.465454,-99.162665
house,100.0,86191.71,Distrito Federal,19.453854,-99.193979
apartment,67.0,132406.18,Distrito Federal,19.2990233,-99.0436467
